,label,ratio
0,1,97.946%
1,2,81.941%
2,4,98.668%
3,5,99.368%
4,6,99.704%
5,8,93.658%
6,10,99.187%
7,12,93.025%
8,13,99.696%
9,14,99.827%
10,16,97.33%
11,17,99.683%
12,18,97.209%
13,19,100.0%
14,20,100.0%
15,21,100.0%
16,22,100.0%
17,23,100.0%
18,24,98.163%
19,25,99.838%
20,26,99.913%
21,27,98.913%
22,29,96.898%
23,30,98.955%
24,31,97.881%
25,32,98.969%
26,33,94.663%
27,34,99.249%
28,35,97.242%
29,36,100.0%
30,37,99.879%
31,39,100.0%
32,40,100.0%
33,41,99.809%
34,43,66.667%
35,44,99.902%
36,45,64.48%
37,47,98.698%
38,48,100.0%
39,49,99.674%
40,50,99.81%
41,51,91.9%
42,52,99.94%
43,53,99.802%
44,54,99.808%
45,55,98.644%
46,56,99.623%
47,57,99.864%
48,58,100.0%
49,59,97.213%
50,60,93.416%
51,61,0.4%
52,62,98.689%
53,63,98.627%
54,64,99.758%
55,66,98.723%
56,67,76.271%
57,69,98.482%
58,70,98.844%
59,71,61.928%
60,72,99.461%
61,73,98.943%
62,74,98.389%
63,75,99.656%
64,76,99.325%
65,77,99.88%
66,78,64.202%
67,80,74.126%
68,82,94.58%
69,83,69.786%
70,84,100.0%
71,85,99.27%
72,86,100.0%
73,87,99.932%
74,88,98.297%
75,89,99.657%
76,90,95.232%
77,91,99.942%
78,92,93.043%
79,93,100.0%
80,94,97.793%
81,95,47.942%
82,97,99.241%
83,98,99.929%
84,99,1.282%
85,100,44.685%
86,102,0.452%
87,103,100.0%
88,104,100.0%
89,105,99.718%
90,106,100.0%
91,107,99.795%
92,108,99.906%
93,109,90.284%
94,111,100.0%
95,112,97.957%
96,113,99.926%
97,114,100.0%
98,115,99.88%
99,116,97.034%
100,118,99.496%
101,119,81.83%
102,121,99.886%
103,122,98.287%
104,124,97.291%
105,126,100.0%
106,127,100.0%
107,128,99.112%
108,129,98.559%
109,130,99.336%
110,131,98.837%
111,132,99.035%
112,133,98.961%
113,134,97.506%
114,136,99.875%
115,137,99.152%
116,138,16.376%
117,140,97.197%
118,142,100.0%
119,143,96.571%
120,144,98.918%
121,145,99.117%
122,147,95.388%
123,148,99.4%
124,149,80.856%
125,150,99.836%
126,151,99.898%
127,152,94.497%
128,154,41.753%
129,156,94.422%
130,158,100.0%
131,159,99.713%
132,160,97.365%
133,161,90.7%
134,163,100.0%
135,164,100.0%
136,165,93.075%
137,167,99.451%
138,168,93.676%
139,169,98.66%
